Cluster,Phase,Day of Date Trap,Cluster.code,ASBs Deployed,Form.Collectionid Check,Form.Sampleid Check,form.DyeFed,form.BloodFed,form.SugarFed,Indoor,Outdoor,Male,Female,An. gambiae,An. funestus
asb77,1,9-Mar-21,77,2,5097573,5160037,0,0,---,0,1,0,1,1,
asb77,1,9-Mar-21,77,2,5097573,5160040,0,1,---,0,1,0,1,1,
asb77,1,9-Mar-21,77,2,5097573,5160047,0,0,---,0,1,0,1,1,
asb77,1,9-Mar-21,77,2,5097627,5159516,0,0,---,0,1,0,1,1,
asb77,1,9-Mar-21,77,2,5097627,5160020,0,0,---,0,1,0,1,1,
asb77,1,9-Mar-21,77,2,5097627,5160051,0,0,---,0,1,0,1,1,
asb77,1,9-Mar-21,77,2,5097631,5161512,0,0,---,0,1,0,1,1,
asb77,1,9-Mar-21,77,2,5097631,5161534,0,0,---,0,1,0,1,1,
asb77,1,9-Mar-21,77,2,5097631,5161537,0,0,---,0,1,0,1,1,
asb77,1,9-Mar-21,77,2,5097631,5161548,0,1,---,0,1,0,1,1,
asb77,1,9-Mar-21,77,2,5113987,5160725,0,0,---,0,1,0,1,1,
asb77,1,9-Mar-21,77,2,5113987,5160759,0,0,---,0,1,0,1,1,
asb77,1,9-Mar-21,77,2,5113987,5161589,0,0,---,0,1,0,1,1,
asb77,1,9-Mar-21,77,2,5113987,5161615,0,0,---,0,1,0,1,1,
asb84,1,9-Mar-21,84,3,5096071,5163086,0,0,---,0,1,0,1,1,
asb84,1,9-Mar-21,84,3,5096077,5163098,0,0,---,0,1,0,1,1,
asb84,1,9-Mar-21,84,3,5096555,5163107,0,0,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113371,5159677,1,1,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113371,5159685,0,0,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113371,5159686,0,0,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113371,5159689,0,0,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113371,5159690,0,0,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113371,5159696,0,1,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113374,5160939,0,0,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113411,5161012,1,0,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113433,5160970,0,0,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113433,5160972,0,0,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113578,5159705,0,0,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113584,5159534,0,0,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113584,5159535,0,0,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113584,5159537,0,0,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113584,5159554,0,0,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113584,5159561,0,0,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113584,5159563,0,0,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113584,5159565,0,0,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113584,5159572,0,0,---,0,1,0,1,1,
asb163,1,9-Mar-21,163,2,5113584,5159573,0,0,---,0,1,0,1,1,
asb194,1,9-Mar-21,194,3,5104030,5161294,0,0,---,0,1,0,1,1,
asb194,1,9-Mar-21,194,3,5104030,5161301,0,0,---,0,1,0,1,1,
asb13,1,10-Mar-21,13,2,5096845,5160710,0,0,---,0,1,0,1,1,
asb13,1,10-Mar-21,13,2,5096845,5160711,0,0,---,0,1,0,1,1,
asb13,1,10-Mar-21,13,2,5096850,5160573,0,0,---,0,1,0,1,1,
asb13,1,10-Mar-21,13,2,5096851,5160583,0,0,---,0,1,0,1,1,
asb13,1,10-Mar-21,13,2,5097070,5160557,0,0,---,0,1,0,1,1,
asb13,1,10-Mar-21,13,2,5097070,5160588,0,0,---,0,1,0,1,1,
asb13,1,10-Mar-21,13,2,5097072,5160568,1,0,---,0,1,0,1,1,
asb13,1,10-Mar-21,13,2,5097128,5160701,0,0,---,0,1,0,1,1,
asb33,1,10-Mar-21,33,3,5095432,5162090,0,0,---,0,1,0,1,1,
asb33,1,10-Mar-21,33,3,5095854,5162106,0,1,---,0,1,0,1,1,
asb33,1,10-Mar-21,33,3,5095856,5162074,0,0,---,0,1,0,1,1,
asb33,1,10-Mar-21,33,3,5107883,5162005,0,0,---,0,1,0,1,1,
asb45,1,10-Mar-21,45,2,5077486,5163778,0,0,---,0,1,0,1,1,
asb77,1,10-Mar-21,77,2,5095005,5163191,0,0,---,0,1,0,1,1,
asb77,1,10-Mar-21,77,2,5095008,5163416,0,0,---,0,1,0,1,1,
asb77,1,10-Mar-21,77,2,5095008,5163421,0,0,---,0,1,0,1,1,
asb77,1,10-Mar-21,77,2,5095008,5163438,0,0,---,0,1,0,1,1,
asb77,1,10-Mar-21,77,2,5095128,5162913,0,0,---,0,1,0,1,1,
asb77,1,10-Mar-21,77,2,5097567,5163426,0,0,---,0,1,0,1,1,
asb77,1,10-Mar-21,77,2,5097567,5163428,0,0,---,0,1,0,1,1,
asb77,1,10-Mar-21,77,2,5097570,5162626,0,0,---,0,1,0,1,1,
asb77,1,10-Mar-21,77,2,5097570,5162635,0,0,---,0,1,0,1,1,
asb77,1,10-Mar-21,77,2,5097570,5162670,0,0,---,0,1,0,1,1,
